ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
PRKAG2	CRY1
CRY1	LOC400927-CSNK1E
LOC400927-CSNK1E	GLI1
LOC400927-CSNK1E	GLI2
LOC400927-CSNK1E	GLI3
CRTC2	CREB1
PRKAG2	MTOR
MTOR	PRKCA
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
ADRA1B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	CREB1
HRAS	PLCE1
PLCE1	PRKACA
ADRA1D	GNAQ
ADRA2A	GNAQ
ADRA2B	GNAQ
ADRA2C	GNAQ
ADRB1	GNAI1
GNAI1	MAPK1
ADRB1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
ADRB2	GNAI1
ADRB2	GNAS
ADRB3	GNAI1
ADRB3	GNAS
CREB5	ARC
GLI1	WNT4
GLI1	WNT9B
MYD88	IFNA6
MYD88	IFNA13
NFYC	HLA-DQA2
USF1	CHI3L1
EGR1	JUN
TFAP2A	KRT5
JUN	MAT2A
