HRH1	GNAQ
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
MAPK1	TP53
MAPK1	CREB1
SMAD2	E2F4
PDE4A	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	TP53
PRKACA	CREB1
MAPK8	SMAD3
SMAD3	E2F4
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
PRKCA	MAPK1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	JUN
PRKCA	CREB1
TCF7L2	MYC
JUN	CCND2
CREB3L3	IL8
CREBBP	TFRC
EP300	TFRC
PAX6	GCK
MYD88	IFNA13
NFYC	HLA-DMB
NFYC	HLA-DOA
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
ATF1	PLAUR
MYBL2	RBL1
MYBL2	SP1
CREB1	TIMP1
MYC	TP53
