ADRA2A	GNAQ
GNAQ	HRAS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PPARA
HRAS	MAPK1
MAPK1	STAT1
HRAS	RAF1
RAF1	NFKB1
MAPK1	SMAD2
SMAD2	SP1
HRAS	MAPK14
MAPK14	CEBPB
HRAS	PIK3R5
PIK3R5	AKT3
AKT3	IRF3
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	CREB1
RAF1	RELA
MAPK1	ETS1
ETS1	SPI1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
PIK3R5	HIF1A
EP300	NPPA
HIF1A	BCL2
STAT5A	SOCS4
STAT5A	SOCS2
STAT5B	SOCS5
STAT6	CCND1
EPAS1	FIGF
ETS1	VEGFA
FOS	PGF
NFKB2	BCL2L1
FOXO3	G6PC
CREB3L2	BCL2
PPARA	CPT2
PPARA	ACOX2
PPARD	ANGPTL4
PPARG	CPT1A
RXRA	CPT1C
RXRA	FABP1
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
RXRB	ME1
RXRB	ANGPTL4
NFYB	HLA-DPA1
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DRA
NFYC	HLA-DRB1
MAPK8	IL12A
MAPK11	IL12B
RFXANK	HLA-DQB1
RFXANK	HLA-DRB1
PPARG	SAT1
SP1	ADH6
TFAP2A	ADM
ATF3	ASNS
ATF4	ASNS
TFAP2A	EGFR
ATF1	ERBB2
USF2	FBP1
EGR1	FCER2
STAT3	HMOX1
REL	TNFSF10
POU2F1	VWF
