GLI3	WNT4
NPAS2	RORC
NPAS2	BHLHE41
NPAS2	BHLHE40
NPAS2	PER3
CLOCK	RORA
CLOCK	RORB
TCF7L2	BIRC5
JUN	CCND2
CREB1	PCNA
ATF4	PCNA
CREB3L3	IL8
CREBBP	CDKN1A
CREBBP	HK3
CREBBP	TFRC
EP300	CDKN1A
EP300	HK3
EP300	TFRC
HIF1A	CDKN1A
HIF1A	HK3
SOS1	SPRY1
SOS1	SPRY2
SOS1	SPRED1
SOS1	MYC
STAT4	CCND1
STAT4	CCND3
STAT5A	SOCS1
STAT5B	MYC
STAT5B	CCND2
STAT6	PIM1
HNF1A	HNF4A
RELA	CCL4
RELB	CXCL12
PIK3R2	AKT1
PIK3R2	PDPK1
TP53	SERPINE1
CREB1	BCL2
ATF4	BCL2
PPARA	ACOX1
PPARD	ACADL
PPARG	UCP1
RXRA	CYP27A1
NFYC	HLA-DMB
SP1	CDKN1C
SP1	COL4A2
CREB1	AQP3
CREB1	ARG1
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
CREB1	CGA
USF1	CTSB
NFKB1	CYP11A1
SP1	CYP11A1
CREB1	F3
CEBPA	FN1
TFAP2A	GPX4
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC2
CREB1	HMOX1
TFAP2A	HMOX1
ERG	MMP9
WT1	ODC1
CEBPA	PCK2
NFIC	PCK2
E2F4	PCNA
SP1	PDGFB
SP3	PDGFB
SP1	PLAU
MYBL2	RBL1
SP1	RPL10
JUN	SERPINB2
MYBL2	SP1
ETS2	SPP1
NFIC	TFPI2
CREB1	TIMP1
JUND	TIMP1
ETS1	TNF
MYC	TP53
NFKB1	TP53
TP53	TYMS
