VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
EGR2	FASLG
MAPK8	SMAD4
CREBBP	ALDOA
CREBBP	PDK1
EP300	ALDOA
EP300	PDK1
HIF1A	ALDOA
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
RELA	TRAF2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT3
PIK3CG	AKT2
PIK3R3	AKT3
PIK3R3	AKT2
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
EPAS1	PDGFB
FOS	VEGFB
NFKB2	TRAF2
CREB3L1	MCL1
PPARA	CYP7A1
PPARD	UCP1
PPARG	CYP27A1
RXRA	ACSL3
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
RFXAP	HLA-DMB
POU2F2	REL
CEBPA	ABCB1
CEBPB	ABCB1
TP53	CAV1
SP1	CD99
E2F4	CDC45
USF2	CEACAM6
ATF1	CGA
ATF2	CGA
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
RARB	S100A9
PPARG	SERPINE1
SP1	TAF7
CREB1	TG
CEBPA	TK1
FLI1	TNNC1
SP1	TPI1
TFAP2A	VHL
