HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	STAT3
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
PIK3R5	HIF1A
MAPK1	STAT1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PDE4A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	MAPK1
PPARA	RXRA
PRKACA	NFKB1
PRKACA	RELA
NFKB1	HIF1A
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
GSR	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
PRKCA	PAX8
PAX8	RXRA
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	NFKB1
AKT2	RELA
AKT2	CHUK
CHUK	NFKB2
PRKCA	MTOR
MTOR	HIF1A
JAK2	STAT1
PRKCA	PRKACA
EP300	PFKFB2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
TEAD1	AXIN2
TEAD3	GLI2
STAT5B	SOCS7
TCF7L1	MITF
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
PIK3CB	AKT2
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
EPAS1	PGF
FOS	VEGFB
RFX5	LOC100507709
SP3	CD14
EGR1	CD44
TFAP2A	EGFR
TP53	EGFR
NFKB1	TNNC1
ETS1	VWF
ETS2	VWF
NFIC	VWF
