HRH2	GNAS
GNAS	SRC
SRC	HRAS
HRAS	JUN
SRC	STAT3
STAT3	ESR1
ESR1	SP1
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
STAT3	FOXO3
FOXO3	BCL6
PRKACA	XBP1
XBP1	CEBPA
STAT3	STAT1
GNB5	MAPK8
MAPK8	JUND
HRAS	FOS
MAPK1	SMAD3
MAPK1	SMAD4
ETS1	SPI1
TP53	GADD45G
ELK1	XIAP
CREB3	PCNA
ATF6B	IL8
FOS	MMP9
MAPK8	JUN
CREB3L2	IL8
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	GAPDH
CREBBP	ANGPT4
CREBBP	BCL2
CREBBP	VEGFB
EP300	ENO1
EP300	GAPDH
EP300	ANGPT4
EP300	BCL2
EP300	VEGFB
HIF1A	ENO1
HIF1A	GAPDH
HIF1A	ANGPT4
MYD88	IFNA6
MYD88	IFNA13
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
CEBPA	ABCB1
CEBPB	ABCB1
USF1	CCNB1
USF2	CCNB1
STAT3	CDKN1A
TFAP2A	CDKN1A
USF1	CEACAM1
USF2	CEACAM1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
E2F1	HIST1H2AM
CREB1	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
BCL3	NFKB2
USF1	PTPN6
SP1	RELA
RARA	S100A8
NFKB1	SAA2
PPARD	SERPINE1
EGR1	SOD1
USF2	SP1
POU2F1	SPP1
CREB1	TF
ATF1	TG
EGR1	THBS1
FOS	TIMP1
STAT1	TIMP1
CEBPB	TNF
ETS1	TNNC1
TFAP2A	TNPO1
HIF1A	TP53
STAT1	TP53
FOS	TSHB
PAX1	VHL
