ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
CREBBP	TP53
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
MTOR	HIF1A
AKT3	CHUK
CHUK	NFKB2
AKT3	RELA
CRTC2	EP300
HIF1A	ARNT
PRKAG2	CRY1
CRY1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
CREBBP	STAT1
ADRA1B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
HRAS	PIK3R5
PIK3R5	HIF1A
NFKB1	NFKB2
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
MAPK1	STAT1
ADRA1D	GNAQ
ADRA2A	GNAQ
ADRA2B	GNAQ
GLI3	PTCH1
ELK1	XIAP
SMAD3	MYC
CREB3L2	IL8
CREBBP	HK1
CREBBP	BCL2
EP300	HK1
EP300	BCL2
HIF1A	HK1
ARNT	ENO2
TEAD1	CCND1
STAT5A	SOCS5
CREB3L2	MITF
PIK3CB	AKT2
RXRG	EHHADH
IRF7	IFNA8
NFYA	HLA-DPB1
MAPK11	IL12B
CEBPA	TWF2
CREB1	TWF2
E2F1	HIST1H2AM
ETV4	MMP9
USF1	PTPN6
SPI1	SCARB2
EGR1	SOD1
EGR1	TFPI2
EGR1	THBS1
EGR4	TNF
TFAP2A	TNPO1
JUN	TXN
