NR3C2	KRAS
KRAS	MAPK1
MAPK1	MYC
MAPK1	TP53
KRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	CREB1
KRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PPARA
AR	PRKACA
PRKACA	MAPK1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	RELA
PRKACA	CREB1
PGR	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
PGR	MAPK8
MAPK8	TP53
MAPK8	NFKB1
MAPK8	RELA
PGR	PRKACA
CYP11B2	HSD11B1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	RAF1
PRKCA	CREB1
PRKCA	PRKACA
SRD5A1	AKR1C2
AKR1C2	CHRNA7
SRD5A1	UGT2B11
UGT2B11	CYP2E1
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	NFKB1
AKT3	RELA
SRD5A2	AKR1C2
SRD5A2	UGT2B11
SRD5A3	AKR1C2
SRD5A3	UGT2B11
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	RAF1
HRAS	PLCE1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	INS
INS	MAPK1
MAPK1	NFKB1
MAPK1	RELA
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREB1
CALML6	ADCY1
ADCY1	PRKACA
CACNA1D	INS
CACNA1D	CALML6
CACNA1F	RASGRP3
CACNA1F	PLCD3
PLCD3	PRKCA
CACNA1S	RASGRP3
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	IGF1R
IGF1R	PRKACA
CACNA1A	PRKCA
CACNA1G	INS
CACNA1G	CALML6
CACNA1H	NOS1
NOS1	MAPK1
CACNA1H	CALML6
CACNA1I	NOS1
CACNA1I	CALML6
GLI3	BMP2
STAT4	SOCS2
STAT5B	SOCS1
LEF1	MITF
PIK3R2	AKT3
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA6
MYD88	IFNA13
MAPK8	IL18
ETS2	TWF2
ETS1	DNTT
PPARA	MMP9
