DRD2	GNAI1
GNAI1	MAPK1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
GNAI1	HRAS
HRAS	JUN
MAPK1	SMAD3
MAPK1	SMAD4
GNAI1	MAPK14
MAPK14	CEBPB
MYC	ZBTB17
MYC	PIAS2
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
MAPK1	TP53
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
CREBBP	SMAD2
CREBBP	SMAD3
HRAS	MAPK14
SP1	ZBTB17
CRTC2	EP300
CREBBP	TP53
CALM1	HRAS
CALM1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TNNC1	PLCD3
PLCD3	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
PLCD3	PRKCA
PRKCA	MAPK1
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP4
TP53	GADD45G
EGR3	FASLG
CREBBP	FIGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
HNF1A	HNF4G
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
RXRA	ACSL5
MAPK8	IL18
RFXAP	LOC100509457
MYB	TSC22D3
MYBL1	TSC22D3
SP2	CEACAM1
STAT5B	ESR1
USF1	FBP1
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
PPARG	MMP9
BCL3	NFKB2
RARG	S100A9
TFAP2A	TAF7
