DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	ETS1
DRD1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
HRAS	MAPK1
CALM1	HRAS
CALM1	ADCY1
CALM1	CAMK2A
CREBBP	ARNT
CALM2	HRAS
CALM2	ADCY1
CALM2	CAMK2A
CALM3	HRAS
CALM3	ADCY1
CALM3	CAMK2A
CTNNB1	CCND3
JUN	CCND3
RELA	IL6
CREB3L3	PCNA
CREBBP	PFKL
CREBBP	TIMP1
EP300	PFKL
EP300	TIMP1
STAT4	CCND3
STAT4	SOCS3
STAT5A	MYC
STAT5B	CCND2
STAT5B	CCND3
STAT6	SOCS7
VDR	TRPV6
NFKB1	GADD45B
RELA	BCL2A1
USF2	CEACAM5
MYC	CSTB
MYC	PTMA
EGR1	RELA
NFIC	SFTPC
SMAD2	SP1
HOXA4	TH
ETS1	TIMP1
SMAD4	TNNC1
EGR1	TP53
