HSD17B1	CYP3A4
CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
MAPK1	ETS1
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	MTOR
MTOR	HIF1A
ETS1	SPI1
MTOR	PPARG
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKACA	GLI2
PRKACA	GLI3
PRKCA	RAF1
RAF1	NFKB1
RXRA	RARB
RELA	BIRC2
RELA	BCL2
GLI1	WNT7B
GLI1	WNT10B
CREBBP	HKDC1
MITF	TYRP1
RELA	TRAF1
PIK3CD	PDPK1
MYC	CKS1B
MYC	MMP2
NFKB1	TRAF4
RELA	CCND1
ATF2	MCL1
RELA	MYB
PPARA	ACSL4
PPARA	ANGPTL4
PPARD	LPL
PPARG	GK
PPARG	SCD5
RXRA	EHHADH
NFYA	HLA-DOA
NFYA	HLA-DQB1
NFYA	HLA-DRB3
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MYB	TSC22D3
MYBL1	TSC22D3
TP53	CAV1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
USF1	CTSB
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
TP53	EGFR
CREB1	ERBB2
ELK1	ERBB2
SMAD7	HMOX1
STAT3	HMOX1
NFKB1	KLK3
TP53	KLK3
PPARD	LIPA
USF2	LIPC
JUNB	TIMP1
