AGTR1	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	SMAD4
MAPK1	SMAD3
MAPK1	CREB1
ATF2	IL8
CREB3L4	IL8
IRF3	IFNB1
NFATC4	TNF
CREBBP	CDKN1B
CREBBP	ENO3
CREBBP	ANGPT1
CREBBP	NOS2
EP300	CDKN1B
EP300	ENO3
EP300	ANGPT1
EP300	NOS2
HIF1A	CDKN1B
HIF1A	ENO3
HIF1A	ANGPT1
HIF1A	NOS2
SMAD4	ID3
SMAD4	ID4
SMAD4	SERPINE1
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
NFYA	LOC101060835
NFYB	HLA-DPA1
RFXAP	HLA-DRB3
SP3	ABCA1
FLI1	FOS
SP1	RPL15
RARG	S100A8
RELA	SAA2
EPAS1	SERPINE1
ETV4	SPP1
SP1	SPP1
ESR1	TFF1
ATF1	TFRC
SMAD3	TIMP1
TFAP2A	TIMP1
CEBPD	TNF
SP3	TNF
PAX2	TP53
USF1	TP53
JUN	TSHB
ESR1	UBE2L3
