HTR2A	GNAQ
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
HRAS	MAPK1
MAPK1	ELK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	SMAD2
SMAD2	SP1
HRAS	FOS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ATF4
HRAS	MAPK14
MAPK14	CEBPB
DRD2	PPP2CA
PPP2CA	YAP1
DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
GNAI1	HRAS
GNAI1	RAPGEF3
RAPGEF3	PRKACA
GNAI1	MAPK14
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
JUN	RELA
FOS	CCND1
HIF1A	BCL2
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
BBC3	TP53
TP53	SESN3
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
MAPK1	IL12B
MAPK8	IL12A
MYBL2	CDKN1C
ATF4	CGA
TP53	IL8
ATF2	INS
CEBPA	ITGA2
SP1	ITGA2
CREM	PLAT
JUN	PLAT
POU2F1	VWF
