HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
HRAS	JUN
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
MAPK1	MYC
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	ETS1
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	HRAS
MAPK1	CREB3
CREB3	ATF1
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
GRIA2	GRIN1
GRIN1	CALML6
CALML6	CAMK2A
CREBBP	SP1
GRIA2	LYN
LYN	PRKCA
PRKCA	CREB1
CALML6	HRAS
GRIN1	NOS1
NOS1	MAPK1
LYN	PIK3R5
GRIA3	GRIN1
GRIA3	LYN
ATF6B	IL8
NFKB1	TNF
CREBBP	ENO1
CREBBP	SERPINE1
EP300	ENO1
EP300	SERPINE1
HIF1A	ENO1
HIF1A	SERPINE1
SOS1	SPRY3
RELA	TRAF2
PIK3CG	AKT3
PIK3R3	AKT3
MYD88	IFNA8
MAPK9	IL12B
RFXANK	HLA-DRB5
RFXANK	CD74
USF2	ABCA1
SP1	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
E2F4	CDC45
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
RARA	S100A8
PPARA	SERPINE1
POU2F1	SPP1
JUN	TFRC
STAT1	TIMP1
ERG	TNNC1
STAT1	TP53
HIF1A	VHL
