AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	TP53
HRAS	JUN
HRAS	RAF1
RAF1	NFKB1
GNAQ	DVL1
DVL1	GSK3B
GSK3B	ARNTL
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
GLI3	WNT3
GLI3	WNT8A
GLI3	WNT3A
E2F2	CCNE2
CREB1	MITF
EPAS1	FIGF
EPAS1	PGF
ETS1	CDK4
FOS	FIGF
NFKB2	BCL2L1
NFKB2	TRAF3
IRF8	IL12B
ATF4	MCL1
PPARA	CPT2
PPARA	CYP8B1
PPARA	APOA2
PPARD	FABP3
PPARG	CPT1A
PPARG	FABP4
PPARG	PCK1
RXRA	CYP8B1
RXRG	EHHADH
MAPK1	IL6
MAPK1	NOS2
TFAP2A	CGA
TP53	CHEK1
ATF2	HLA-E
FOS	MT1A
CEBPE	MYB
ESR1	MYC
TFAP2A	MYC
