TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	RAF1
RAF1	NFKB1
RAF1	RELA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	SP1
RAF1	AKT3
AKT3	CREB1
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK8	JUN
MAPK8	ELK1
ELK1	EGR1
NFKB1	HIF1A
MAPK8	TP53
PRKACA	PPARA
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
SMAD3	E2F4
AKT3	MTOR
MTOR	PPARG
MAPK8	SMAD4
SMAD4	LEF1
LEF1	PPARD
AKT3	ATF4
SMAD3	CREBBP
SMAD3	EP300
HIF1A	ARNT
RAF1	MAPK1
MAPK1	ETS2
AKT3	GSK3B
GSK3B	ARNTL
RHOA	DAAM1
DAAM1	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
MAPK1	STAT3
MAPK1	STAT1
NFKB1	SOCS3
SOCS3	STAT5A
SOCS3	STAT5B
SMAD3	YAP1
SMAD3	WWTR1
AKT3	CHUK
CHUK	IRF7
NFKB1	TRAF6
TRAF6	MYD88
RHOA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
CREBBP	RBPJL
CREBBP	RBPJ
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	NFKB1
MAP3K1	RELA
BCL2	TP53
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
TP53	PTEN
PTEN	AKT3
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
AKT3	JUN
MAP3K1	MAPK8
PTEN	PIK3R5
PIK3R5	HIF1A
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
YAP1	LEF1
PRKACA	CREBBP
PRKACA	EP300
THBS1	PTK2
PTK2	MAPK1
TP73	WWTR1
WWTR1	LOC400927-CSNK1E
ITGB1	SRC
SRC	STAT3
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
YAP1	SMAD4
MAP3K1	CHUK
CREB3L2	BDNF
CREB3L3	NPY
NR3C2	ATP1A2
NR3C2	SCNN1B
GLI3	WNT3
GLI3	WNT7B
GLI3	WNT8A
GLI3	PTCH2
GLI3	WNT3A
E2F2	CCNE1
E2F2	CCNE2
CLOCK	BHLHE41
CLOCK	NR1D1
NFAT5	TNF
ATF2	PCNA
EP300	FASLG
CREB5	IL8
CREBBP	EDN1
CREBBP	FLT1
CREBBP	VEGFC
EP300	EDN1
EP300	FLT1
EP300	VEGFC
HIF1A	EDN1
HIF1A	FLT1
HIF1A	PGK1
ARNT	CDKN1A
ARNT	CDKN1B
ARNT	FLT1
ARNT	HK3
ARNT	HMOX1
ARNT	PFKFB2
LEF1	CCND3
TCF7L2	BIRC2
TEAD1	CCND1
TEAD4	CCND2
TCF7L1	SOX2
TEAD2	BIRC5
PAX6	INS
HNF1A	FOXA3
LEF1	MITF
EPAS1	TGFB1
EPAS1	TGFB3
EPAS1	VEGFC
ETS1	VEGFA
ETS1	VEGFB
ETS1	VEGFC
HIF1A	PDGFB
AR	KLK3
MYC	CDK4
MYC	CKS2
MYC	MMP1
NFKB1	NOS2
NFKB1	CCND1
NFKB2	BIRC2
NFKB2	BIRC7
RELA	NOS2
RELA	TRAF3
RELA	TRAF4
IRF8	IL12A
FOXO3	G6PC
FOXO3	PCK1
FOXO3	G6PC2
CREB3L3	BCL2
PPARA	FABP1
PPARA	ACSL3
PPARA	ACSBG1
PPARA	ACAA1
PPARA	APOA1
PPARA	ACOX2
PPARA	FADS2
PPARD	CPT1A
PPARD	UBC
PPARG	ACSL4
PPARG	ACSL6
PPARG	GK2
PPARG	LPL
PPARG	OLR1
RXRA	CPT1C
RXRA	CPT1B
RXRA	CYP4A11
RXRA	ACSL1
RXRB	CYP4A11
RXRG	SORBS1
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA10
NFKB1	IL23A
NFYA	HLA-DOB
NFYB	HLA-DPA1
NFYC	HLA-DQA2
MAPK1	IL12B
MAPK9	IL18
MAPK10	IL12B
MAPK10	IL18
RFXAP	HLA-DOA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
MAPK12	IL1A
MAPK12	IL1B
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
MYB	TSC22D3
MYBL1	TSC22D3
USF2	B2M
E2F+P170	CCNA2
JUN	CYP11A1
CREB1	F3
PPARG	GADD45A
RARA	GADD45A
ATF2	HLA-E
ETS1	HMOX1
NFIC	HMOX1
POU2F2	IL2
SP1	IL2
CEBPB	IL5
CEBPA	IL6
FOS	MT1A
BCL3	MYB
CEBPE	MYB
CEBPE	MYC
ESR1	MYC
SP1	MYC
TFAP2A	MYC
JUN	PDHA1
ATF2	PENK
TP53	RELA
RELA	S100A6
TP53	S100B
SP1	SPN
JUN	SPP1
CEBPA	TF
JUN	TIMP1
SMAD4	TIMP1
ATF2	TNF
JUN	TP53
PAX5	TP53
STAT3	TRH
NFKB1	VWF
