NPAS2	PER2
CLOCK	RORC
CLOCK	BHLHE41
CLOCK	PER3
CLOCK	NR1D1
FOSB	GRIA2
ELK1	BIRC2
ELK1	CCND2
CREB3L4	PCNA
MAPK9	SMAD4
RELA	MMP9
STAT1	MYD88
CREBBP	EPO
CREBBP	PFKFB2
CREBBP	PGF
CREBBP	TEK
EP300	EPO
EP300	PFKFB2
EP300	PGF
EP300	TEK
HIF1A	EPO
HIF1A	PFKFB2
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
HNF1A	HNF4A
CREBBP	MITF
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELA	PTGS2
RELB	CCL13
RELB	CCL19
PIK3CA	AKT1
PIK3CD	AKT3
PIK3R1	AKT3
PIK3R1	PDPK1
RBPJL	PTCRA
EPAS1	PDGFB
EPAS1	TGFB1
NFKB2	TRAF2
RELA	NOS2
PPARA	CYP7A1
PPARA	ACSL3
PPARG	CYP27A1
PPARG	ACSL6
RXRA	ACSBG1
RXRA	UCP1
RXRB	CYP4A22
RXRB	APOC3
RXRB	PCK1
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL18
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
SP3	ABCA1
SP1	CAV1
ATF4	CGA
REL	CSF2
USF2	CTSB
SP1	CTSL
STAT1	EGFR
CREB1	ERBB2
ELK1	ERBB2
USF1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
E2F1	HIST1H2AM
BRCA1	PCNA
FOS	PDHA1
JUN	PDHA1
TFAP2A	PDHA1
ATF2	PENK
FOS	PENK
ESR1	PTMA
TP53	PTTG1
RARA	S100A9
USF2	SERPINE1
ETS1	SLC26A3
WT1	SOD1
NFIC	STMN1
ATF1	TH
HOXA5	TH
USF2	THBS1
E2F4	TK1
NFKB1	TNNC1
SP3	TNNC1
CEBPB	TOP1
WT1	TP53
ETV4	VIM
