CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	FOS
TP53	TP73
PRKCA	HRAS
HRAS	MAPK8
MAPK8	JUND
PRKCA	CREB1
CREB1	PER1
PER1	ARNTL
PER1	NPAS2
PER1	CLOCK
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	TP53
MAPK8	FOS
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	GSK3B
GSK3B	ARNTL
PRKCE	PPP1CA
PPP1CA	CREB1
GSK3B	CLOCK
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
GLI3	WNT4
GLI3	WNT7A
GLI3	WNT8B
GLI3	WNT5B
NR1H4	SLC51B
E2F1	CCNE2
E2F3	CCNE1
SMAD2	CTGF
MITF	TYRP1
RELA	TRAF6
PPARA	CYP4A22
PPARG	SLC27A1
ATF4	CGA
CREB1	CGA
ERG	MMP9
E2F1	MYB
EGR1	MYB
MYC	MYC
JUN	MYC
RELA	MYC
TP53	MYC
