CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	FOS
PRKCA	MAPK1
MAPK1	STAT3
MAPK1	STAT1
PRKCA	HRAS
HRAS	JUN
PRKCA	EGLN2
EGLN2	EPAS1
MAPK1	ETS1
PRKCA	CREB1
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PLCB1	PIK3R5
PIK3R5	HIF1A
PRKCE	MAPK8
MAPK8	FOS
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
CAMK2A	STAT1
MAPK8	JUN
CREBBP	EPAS1
PRKCE	ARAF
ARAF	MAPK1
PRKCE	PPP1CA
PPP1CA	CREB1
STAT3	PIM1
NPAS2	PER2
CLOCK	RORC
JUN	CCND3
SMAD3	MYC
MAPK9	JUN
CREB3L3	PCNA
CREBBP	HK1
CREBBP	PFKFB1
CREBBP	TIMP1
EP300	HK1
EP300	PFKFB1
EP300	TIMP1
HIF1A	HK1
HIF1A	PFKFB1
TEAD1	BIRC2
VDR	TRPV6
NFKB1	IL1B
NFKB1	GADD45B
NFKB1	PLAU
NFKB1	BCL2A1
NFKB1	TRAF1
NFKB1	VCAM1
NFKB2	TNFSF13B
NFKB2	CCL13
RELA	NFKBIA
RELA	BCL2A1
RELB	ICAM1
RELB	CCL21
PIK3CA	AKT3
PIK3CD	AKT1
PIK3CG	PDPK1
RXRA	UCP1
RXRB	CYP4A22
RXRG	EHHADH
IRF7	IFNA8
NFKB1	REL
POU2F1	REL
SP1	CCND1
NFIC	HSPA1A
BRCA1	PCNA
FOS	PDHA1
EGR1	RELA
SPI1	SCARB2
SP1	SERPINE1
SMAD2	SP1
EGR1	TFPI2
PAX8	TG
ETS1	TIMP1
EGR4	TNF
JUN	TNNC1
EGR1	TP53
JUN	TXN
ERG	VIM
