TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	TP53
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
AKT3	ATF4
MAPK8	ATF2
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	ATF6B
AKT3	CREB5
MAPK8	SMAD3
SMAD3	E2F4
SMAD3	SP1
MAPK8	JUN
RAF1	NFKB1
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
RAF1	RELA
MAPK8	ELK1
ELK1	EGR1
MAPK8	SMAD4
RAF1	MAPK1
MAPK1	SMAD2
BCL2	TP53
TP53	PTEN
PTEN	AKT3
AKT3	ATF2
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
AKT3	JUN
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	NFKB1
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
MAP3K1	RELA
MAP3K1	MAPK8
YAP1	SMAD3
YAP1	SMAD4
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
MAPK1	CCND1
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
NFYC	HLA-DMA
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
MYB	TSC22D3
MYBL1	TSC22D3
MYBL2	CDKN1C
NFKB1	REL
USF2	ABCA1
SP2	CD14
SP1	CD9
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF1	CTSB
TFAP2A	CYP11A1
MYC	EIF4E
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
