HTR4	GNAS
GNAS	SRC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
GNAS	GNB5
GNB5	MAPK1
MAPK1	ELK1
ELK1	EGR1
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	HRAS
HRAS	JUN
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	XBP1
XBP1	CEBPA
STAT3	MYC
MYC	ZBTB17
MYC	PIAS2
HTR2A	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	CREB1
HRAS	PLCE1
PLCE1	PRKACA
MAPK1	MYC
GLI3	BMP4
TP53	PERP
RXRA	ACSL5
RXRG	EHHADH
RXRG	FABP3
IRF7	IFNA8
IRF7	IFNA14
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFYA	LOC100507714
MAPK9	IL12A
MAPK9	IL12B
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
USF2	ABCA1
SP1	CD9
PPARG	MMP9
