CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
ELK1	EGR1
PRKCA	HRAS
HRAS	JUN
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	CREB1
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MAPK8	ELK1
MAPK8	JUN
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
PRKCE	PPP1CA
PPP1CA	CREB1
STAT4	CCND3
STAT5B	CCND2
RBPJ	PTCRA
TP53	PTEN
SP1	AKR1B1
POU2F1	AKR1C3
CEBPA	ALB
SP1	ALB
SP1	ALDH3A1
CEBPA	APOB
SP1	CCND1
USF2	CEACAM5
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
