ADRA2B	GNAQ
GNAQ	HRAS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK1
MAPK1	TP53
HRAS	JUN
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
HRAS	FOS
ETS1	SPI1
MAPK1	MYC
MAPK1	ELK1
ELK1	EGR1
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	RAF1
RAF1	NFKB1
MAPK1	CREB1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
RAF1	RELA
MAPK1	MITF
CREBBP	EPAS1
ELK1	BIRC2
ELK1	CCND3
CREB3	IL8
RELA	MMP9
TP53	CDKN1B
CREB3L1	IL8
CREBBP	PGF
CREBBP	TF
CREBBP	VEGFA
EP300	PGF
EP300	TF
EP300	VEGFA
STAT2	CCND2
STAT2	CCND3
STAT2	SOCS3
RELA	GADD45B
RELA	TRAF1
PIK3R5	AKT1
PIK3CB	AKT2
PIK3CD	PDPK1
PLCG2	EGFR
MAPK9	IL1A
RFX5	LOC100507709
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
CEBPB	F8
AR	F9
NFKB1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ESR1	PTMA
E2F4	RBL1
PPARD	RELA
ETS1	SLC26A3
ESR1	SP1
USF1	SP1
HOXA5	TH
WT1	THBS1
ETV4	TIMP1
SP3	TNNC1
USF2	TOP3A
FOS	TP53
