ADRA1A	PRKAG2
PRKAG2	MTOR
MTOR	AKT3
AKT3	RELA
AKT3	NFKB1
AKT3	CHUK
CHUK	IRF7
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	STAT1
STAT1	MYD88
MTOR	HIF1A
CRTC2	EP300
HIF1A	ARNT
ADRA1B	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
HRAS	MAP3K1
MAP3K1	CHUK
HRAS	MAPK1
MAPK1	STAT1
HRAS	PIK3R5
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
ADRA1D	GNAQ
ADRA2A	GNAQ
ADRA2B	GNAQ
MAPK10	JUN
CREBBP	PFKFB3
EP300	PFKFB3
HIF1A	PFKFB3
RXRB	CYP7A1
RXRB	DBI
RXRB	FABP3
RXRG	SLC27A4
RXRG	CPT1A
RXRG	CYP7A1
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DPA1
JUN	SFTPA1
CREB1	TH
SMAD2	TNNC1
ERG	VWF
