DRD2	GNAI1
GNAI1	MAPK1
MAPK1	TP53
GNAI1	HRAS
HRAS	FOS
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	MYC
MAPK1	NFKB1
HRAS	JUN
MAPK1	CREB1
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
HRAS	PIK3R5
HRAS	RAF1
RAF1	NFKB1
CALM1	HRAS
CALM1	ADCY1
CALM1	CAMK2A
CAMK2A	CREBBP
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CAMK2A	CREB1
CALM2	HRAS
CALM2	ADCY1
CALM2	CAMK2A
CALM3	HRAS
CALM3	ADCY1
CALM3	CAMK2A
VDR	ATP2B1
ETS1	CDK4
ETS1	MMP2
IRF8	IL12B
CREB1	MCL1
PPARA	APOA2
PPARA	ME1
PPARG	PCK1
PPARG	SCD
TFAP2A	GPX4
FOS	GSTP1
NFIC	HBA2
SP1	HBZ
RELA	HDAC2
POU2F1	HIST2H2BE
