DRD2	GNAI1
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
MAPK1	NFKB1
MAPK1	ETS1
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	RELA
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HRAS	RAF1
RAF1	NFKB1
HRAS	PIK3R5
RAF1	RELA
CALM1	HRAS
CALM1	CAMK2A
CAMK2A	CREBBP
CREBBP	SP1
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
CREB1	MITF
VDR	TRPV6
NFKB1	GADD45B
RELA	BCL2A1
PIK3CD	AKT1
ATF4	BCL2
PPARD	ACADL
RXRA	CYP27A1
NFYC	CD74
MAPK1	NOS2
MYB	TSC22D3
MYBL1	TSC22D3
SP3	CYP17A1
MYC	EIF4E
