AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	ETS1
ETS1	SPI1
GNAQ	DVL1
DVL1	GSK3B
GSK3B	ARNTL
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
MAPK1	CREB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	JUN
MAPK1	TP53
HRAS	FOS
MAPK1	STAT1
STAT1	MYD88
MYD88	VDR
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
PRKACA	XBP1
XBP1	CEBPA
GSK3B	GLI2
GSK3B	GLI3
CREB3L4	PDYN
CREB3L2	PDYN
RELA	BIRC3
GLI1	WNT4
GLI1	WNT8A
GLI1	WNT9B
GLI3	WNT3
GLI3	WNT7B
GLI3	WNT8A
GLI3	WNT11
GLI3	PTCH2
GLI3	WNT3A
NR1H4	SLC51A
E2F2	CCNE1
E2F2	CCNE2
SMAD2	CDKN1A
NPAS2	CRY1
MAPK11	IL8
RBPJL	FCER2
CREB3L1	MITF
FOS	MMP1
FOS	VEGFA
RELA	MYB
CREB3L3	MCL1
PPARD	LPL
PPARD	PDPK1
RXRA	EHHADH
RXRA	FABP3
RXRA	SCD5
RXRB	ACAA1
RXRB	OLR1
NFYB	HLA-DOB
NFYC	HLA-DMA
MAPK9	IL1B
MAPK9	IL6
USF2	CALCA
E2F4	CAV1
SPI1	CHI3L1
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
NFKB1	ELF3
ESR1	GADD45B
CREB1	GH2
NFIC	GH2
STAT4	IRF1
CEBPA	IVL
PGR	KLK3
TFAP2A	KRT5
PPARG	LIPA
JUN	MAT2A
FOS	MT1A
BCL3	MYB
CEBPE	MYB
ETV4	MYB
CEBPE	MYC
ESR1	MYC
MYBL2	MYC
SP1	MYC
TFAP2A	MYC
SP3	MYCN
JUN	NTS
NFKB1	PPP2R4
CEBPB	PTGS2
