CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PRKACA	XBP1
XBP1	CEBPA
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	HIF1A
HIF1A	ARNT
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
CAMK2A	STAT1
STAT1	MYD88
MAPK8	ELK1
ELK1	SPI1
PIK3R5	GSK3B
GSK3B	ARNTL
PRKCE	PPP1CA
PPP1CA	CREB1
CREB1	PER1
PER1	NPAS2
GSK3B	CLOCK
ELK1	EGR1
GLI3	WNT7B
GLI3	PTCH2
E2F2	CCNE1
ELK1	BIRC2
IRF3	IFNB1
RELA	MMP9
CREBBP	ANGPT1
CREBBP	PGF
EP300	ANGPT1
EP300	PGF
HIF1A	ANGPT1
ETS1	FIGF
ETS1	MMP2
IRF1	IL12B
CREB1	MCL1
PPARA	APOC3
PPARA	ME1
PPARG	ANGPTL4
PPARG	SCD
RXRG	DBI
NFYA	LOC101060835
NFYC	HLA-DQB1
RFX5	LOC100507714
CREB5	AQP2
ETV4	ERBB2
POU5F1	HMGB2
BCL3	MYB
CEBPE	MYC
SP1	MYC
ESR1	PTMA
RELA	SAA2
ETS1	SLC26A3
ESR1	TFF1
HOXA5	TH
CEBPD	TNF
SP3	TNNC1
JUN	TSHB
