ADRA1A	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
PRKAG2	PPARGC1A
PPARGC1A	PPARA
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
CRTC2	EP300
MTOR	HIF1A
HIF1A	ARNT
ADRA1B	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	MAPK1
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	HIF1A
ADRA1D	GNAQ
ADRA2A	GNAQ
ADRA2B	GNAQ
ADRA2C	GNAQ
ADRB1	GNAI1
GNAI1	PIK3R5
ADRB1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
GNAI1	MAPK1
GNAS	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
ADRB2	GNAI1
ADRB2	GNAS
ADRB3	GNAI1
ADRB3	GNAS
ELK1	BIRC2
ATF4	IL8
MAPK10	JUN
RELA	MMP9
CREBBP	HK2
CREBBP	PFKFB3
CREBBP	PGF
EP300	HK2
EP300	PFKFB3
EP300	PGF
HIF1A	HK2
HIF1A	PFKFB3
MITF	TYRP1
EPAS1	PDGFB
FOS	VEGFB
NFKB2	TRAF2
CREB1	BCL2
CREB3L1	MCL1
PPARA	CYP7A1
PPARA	ACOX1
PPARD	UCP1
PPARG	CYP27A1
PPARG	UCP1
RXRA	ACSL3
ESR1	PTMA
SPI1	SERPINB1
JUN	SFTPA1
ETS1	SLC26A3
JUN	TFPI2
CREB1	TH
HOXA5	TH
ELK1	TNF
SMAD2	TNNC1
SP3	TNNC1
POU2F1	TXNRD1
ERG	VWF
