DRD2	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAI1	HRAS
HRAS	JUN
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	NFKB1
MAPK1	RELA
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
ADRA1A	GNAQ
GNAQ	HRAS
PRKAG2	MTOR
MTOR	HIF1A
CRTC2	EP300
MTOR	AKT3
AKT3	NFKB1
AKT3	RELA
CALM1	CAMK2A
CAMK2A	CREBBP
CALM1	HRAS
HRAS	PIK3R5
CAMK2A	EP300
CREBBP	ARNT
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
CALM2	CAMK2A
CALM2	HRAS
CALM3	CAMK2A
CALM3	HRAS
TNNC1	PLCD3
PLCD3	PIK3R5
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
PIK3R5	AKT3
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
STAT5A	SOCS1
STAT6	PIM1
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DPA1
MYB	TSC22D3
MYBL1	TSC22D3
SP3	CD14
JUND	F3
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
SP3	TNNC1
