CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	HRAS
HRAS	JUN
MAPK1	ELK1
ELK1	EGR1
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	TP53
RAF1	RELA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKACA	PPARA
SMAD2	YAP1
MAPK1	SMAD4
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MAPK8	JUN
MAPK8	ELK1
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
MAPK8	TP53
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PRKCE	PPP1CA
PPP1CA	YAP1
MAPK8	SMAD4
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	PFKFB3
ARNT	PFKL
MAPK1	CDK4
EPAS1	SLC2A1
ETS1	IL8
ETS1	MMP2
NFKB2	TRAF6
CREB3	MCL1
CREB1	MCL1
FOXO3	BCL2L11
PPARA	EHHADH
PPARA	SLC27A1
PPARA	ME1
PPARA	SCD5
PPARG	ACSL3
PPARG	ACSL5
PPARG	SCD
RXRA	SLC27A4
RXRG	EHHADH
IRF7	IFNA8
NFYA	HLA-DQB1
NFYA	HLA-DRB1
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYB	HLA-DOA
NFYC	LOC100507714
NFYC	LOC101060835
NFYC	HLA-DQA1
NFYC	HLA-DRA
NFYC	HLA-DRB1
CREB5	AQP2
SP1	COL1A1
TFAP2A	CYP11A1
USF2	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
