DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
MAPK1	SMAD3
SMAD2	YAP1
SMAD2	WWTR1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
NOS1	HRAS
HRAS	JUN
HRAS	FOS
MAPK1	ETS1
GATM	NOS3
NOS3	CREB1
NOS3	ATF2
MAPK1	STAT1
MAPK1	ELK1
ELK1	EGR1
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	STAT3
MAPK1	NFKB1
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	RELA
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
STAT1	MYD88
MAPK11	IL8
RBPJL	FCER2
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
HIF1A	PGK1
HIF1A	HKDC1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	PGF
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
SOS1	SPRED1
SOS1	SPRY4
RXRA	SCD5
RXRB	ACAA1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
RFXAP	HLA-DOA
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
TFAP2A	ADM
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
REL	EGFR
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
ATF1	GH2
CREB1	GH2
NFKB1	PPP2R4
CEBPB	PTGS2
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
NFKB1	VWF
