CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKCE	PPP1CA
PPP1CA	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PRKCE	RAF1
RAF1	RELA
RAF1	NFKB1
PRKCE	MAPK8
MAPK8	ELK1
NFKB1	NFKB2
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
ARAF	MAPK14
MAPK14	MAX
PPP1CA	CREB1
MAPK8	TP53
MAPK8	SMAD3
SMAD3	RBL1
RBL1	TFDP2
SMAD3	SP1
CREB3	CRH
ATF6B	ARC
ATF4	ARC
GLI3	GLI1
JUN	RELA
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
CREB3	MITF
TCF7	MITF
MAPK3	CCND1
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT3
PIK3R2	AKT1
BBC3	TP53
RXRA	ACADL
RXRB	PCK1
NFYA	HLA-DOB
MAPK3	IL23A
MAPK8	IL18
PPARG	SAT1
ETS1	DNTT
STAT4	IFNG
TP53	IL8
CEBPA	ITGA2
RELA	MMP3
CREM	PLAT
