CES1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	NR1H3
NR1H3	RXRA
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PAX8
PAX8	RXRB
PAX8	RXRG
OGT	GSK3B
GSK3B	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKCA	MAPK1
MAPK1	STAT3
OGT	AKT3
AKT3	JUN
MAPK1	ETS1
AKT3	NFKB1
NFKB1	CEBPB
PRKCA	FOS
GSK3B	MYC
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
OGT	PIK3R5
PIK3R5	HIF1A
OGT	CRTC2
CRTC2	CREBBP
CRTC2	EP300
HIF1A	ARNT
AKT3	RELA
TP53	GADD45G
ATF6B	PCNA
MAPK9	JUN
CREBBP	ENO2
CREBBP	PFKFB1
EP300	ENO2
EP300	PFKFB1
HIF1A	ENO2
HIF1A	PFKFB1
NFKB1	IL1B
NFKB1	PLAU
NFKB2	TNFSF13B
RELA	PTGS2
RELB	ICAM1
RELB	CCL19
PIK3CA	AKT3
PIK3CD	AKT3
PIK3CG	PDPK1
PIK3R1	PDPK1
PIK3R3	PDPK1
HIF1A	TGFB1
JUN	FIGF
NFKB2	TRAF1
CREB1	BCL2
ATF4	BCL2
PPARA	CYP4A11
PPARA	ACOX1
PPARD	ACADL
PPARG	CPT1B
PPARG	UCP1
RXRA	CYP27A1
RXRG	EHHADH
IRF7	IFNA8
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP2	CEACAM1
USF1	CEACAM1
BCL3	NFKB2
RARB	S100A8
SP1	SERPINE1
POU2F2	SPP1
PAX8	TG
STAT3	TIMP1
JUN	TNNC1
TP53	TP53
ERG	VIM
