HTR4	GNAS
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	CREB1
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ETS2
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
GNB5	MAPK14
MAPK14	CEBPB
SRC	HRAS
HRAS	JUN
MAPK1	ETS1
HRAS	FOS
MAPK1	SMAD2
SMAD2	E2F4
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
HTR2A	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
HRAS	PIK3R5
MAPK1	CREB1
HRAS	MAP3K1
MAP3K1	IKBKG
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	MAPK14
MAPK1	STAT3
STAT5A	SOCS7
STAT6	SOCS4
RBPJL	HES1
TP53	PIDD
EPAS1	SLC2A1
EPAS1	TGFB3
ETS1	MMP2
FOS	VEGFB
NFKB2	TRAF6
NFKB2	BIRC7
RELA	TRAF3
CREB1	MCL1
CREB3L1	MCL1
PPARA	EHHADH
PPARA	FABP1
PPARA	ACSBG1
PPARA	ME1
PPARD	UCP1
PPARG	ACSL3
PPARG	ACSL4
PPARG	GK2
PPARG	SCD
RXRA	ACSL3
RXRA	UBC
RXRB	GK2
NFKB1	IL23A
NFYC	HLA-DQA1
MAPK1	IL6
MAPK10	IL12B
MAPK10	IL18
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRB4
CREB5	AQP2
JUN	PLAUR
MYB	CDK1
MYB	TSC22D3
MYBL1	TSC22D3
TP53	CAV1
SP3	CDKN1A
ETV4	ERBB2
TFAP2C	ESR1
SP1	GH2
POU2F2	HLA-DRA
ATF2	HLA-E
