HTR4	GNAS
GNAS	SRC
SRC	STAT3
GNAS	GNB5
GNB5	MAPK14
MAPK14	CEBPB
SRC	PIK3R5
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
PIK3R5	MTOR
MTOR	PPARG
GNB5	MAPK1
MAPK1	TP53
SRC	RAC1
RAC1	NFKB1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
SRC	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	XBP1
XBP1	CEBPA
STAT3	ESR1
CTNNB1	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PRKACA	CREB1
PRKACA	ATF4
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	STAT3
HRAS	MAPK14
HRAS	MAP3K1
MAP3K1	IKBKG
HRAS	PLCE1
PLCE1	PRKACA
HRAS	PIK3R5
HRAS	RAF1
RAF1	NFKB1
HTR2A	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	ESR1
GNAQ	DVL1
DVL1	NOTCH1
NOTCH1	RBPJL
MAPK1	CREB1
MAPK1	ATF4
CREB3	NPY
ATF6B	NPY
NR3C2	ATP1A2
NR3C2	SCNN1B
GLI3	PTCH1
FOXO1	PCK2
FOXO1	FBP2
EPAS1	FIGF
EPAS1	PDGFB
JUN	VEGFC
NFKB2	BCL2L1
NFKB2	TRAF1
NFKB2	TRAF2
PPARA	CPT2
PPARA	CYP4A11
PPARA	CYP7A1
PPARG	CPT1A
PPARG	CPT1B
PPARG	CYP27A1
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
REL	CSF2
STAT5B	IFNG
SP1	IL1A
CEBPB	IL5
CEBPA	IL6
ETV4	MMP9
